feature,catboost,mean_importance,max_importance,min_importance,std_importance,vote_count,rank,cumulative_mean
daily_return_lag1,0.06014011845686505,0.06014011845686505,0.06014011845686505,0.06014011845686505,,0,162,98.23545341116781
stddev,0.05992267285870838,0.05992267285870838,0.05992267285870838,0.05992267285870838,,0,163,98.29537608402651
tp,0.058821913093449356,0.058821913093449356,0.058821913093449356,0.058821913093449356,,0,164,98.35419799711997
ema_slow_lag2,0.05840873696915791,0.05840873696915791,0.05840873696915791,0.05840873696915791,,0,165,98.41260673408912
macd_lag2,0.05644043332640088,0.05644043332640088,0.05644043332640088,0.05644043332640088,,0,166,98.46904716741552
bb_middle_lag5,0.05591537174250612,0.05591537174250612,0.05591537174250612,0.05591537174250612,,0,167,98.52496253915803
momentum_10d_lag3,0.055882524882011286,0.055882524882011286,0.055882524882011286,0.055882524882011286,,0,168,98.58084506404003
close_lag5,0.054602284575077285,0.054602284575077285,0.054602284575077285,0.054602284575077285,,0,169,98.63544734861512
insider_at_52w_low,0.054127666325857006,0.054127666325857006,0.054127666325857006,0.054127666325857006,,0,170,98.68957501494097
roc_lag2,0.052696514271119,0.052696514271119,0.052696514271119,0.052696514271119,,0,171,98.74227152921209
cci_lag1,0.05241523115670464,0.05241523115670464,0.05241523115670464,0.05241523115670464,,0,172,98.79468676036879
insider_below_ma200,0.052027216710329734,0.052027216710329734,0.052027216710329734,0.052027216710329734,,0,173,98.84671397707912
price_above_ma20_pct,0.04956981094267671,0.04956981094267671,0.04956981094267671,0.04956981094267671,,0,174,98.89628378802179
rsi_lag2,0.04691815738014437,0.04691815738014437,0.04691815738014437,0.04691815738014437,,0,175,98.94320194540194
ma_short_lag1,0.04483553924801574,0.04483553924801574,0.04483553924801574,0.04483553924801574,,0,176,98.98803748464995
bop,0.04385285564338043,0.04385285564338043,0.04385285564338043,0.04385285564338043,,0,177,99.03189034029333
mfi_lag2,0.042725853161506615,0.042725853161506615,0.042725853161506615,0.042725853161506615,,0,178,99.07461619345483
willr_lag3,0.04226894712291427,0.04226894712291427,0.04226894712291427,0.04226894712291427,,0,179,99.11688514057775
macd,0.041863611497728444,0.041863611497728444,0.041863611497728444,0.041863611497728444,,0,180,99.15874875207548
bb_middle_lag2,0.0417948750932727,0.0417948750932727,0.0417948750932727,0.0417948750932727,,0,181,99.20054362716876
bb_upper_lag3,0.04142503975540052,0.04142503975540052,0.04142503975540052,0.04142503975540052,,0,182,99.24196866692415
roc,0.041282041778388893,0.041282041778388893,0.041282041778388893,0.041282041778388893,,0,183,99.28325070870254
ema_fast_lag1,0.03980498248156444,0.03980498248156444,0.03980498248156444,0.03980498248156444,,0,184,99.32305569118411
mfv,0.03973969602972057,0.03973969602972057,0.03973969602972057,0.03973969602972057,,0,185,99.36279538721384
momentum_5d_1d,0.03796883533525175,0.03796883533525175,0.03796883533525175,0.03796883533525175,,0,186,99.40076422254909
ma_20,0.03728312406399682,0.03728312406399682,0.03728312406399682,0.03728312406399682,,0,187,99.43804734661309
momentum_10d_lag1,0.03500116338386251,0.03500116338386251,0.03500116338386251,0.03500116338386251,,0,188,99.47304850999696
roc_lag3,0.034633946795813025,0.034633946795813025,0.034633946795813025,0.034633946795813025,,0,189,99.50768245679276
stoch_k,0.03206440799734895,0.03206440799734895,0.03206440799734895,0.03206440799734895,,0,190,99.53974686479012
close_lag3,0.028599844634166444,0.028599844634166444,0.028599844634166444,0.028599844634166444,,0,191,99.56834670942429
price_vs_lag1,0.0272942565892444,0.0272942565892444,0.0272942565892444,0.0272942565892444,,0,192,99.59564096601353
plus_dm,0.02603113725344266,0.02603113725344266,0.02603113725344266,0.02603113725344266,,0,193,99.62167210326697
ma_short_lag5,0.024893686674859503,0.024893686674859503,0.024893686674859503,0.024893686674859503,,0,194,99.64656578994183
stoch_d_lag1,0.024703120289496776,0.024703120289496776,0.024703120289496776,0.024703120289496776,,0,195,99.67126891023133
gap_up,0.02401089868318316,0.02401089868318316,0.02401089868318316,0.02401089868318316,,0,196,99.69527980891452
willr_lag5,0.023204352116436525,0.023204352116436525,0.023204352116436525,0.023204352116436525,,0,197,99.71848416103096
roc_lag1,0.023107841668265003,0.023107841668265003,0.023107841668265003,0.023107841668265003,,0,198,99.74159200269922
willr_lag1,0.0217289146665373,0.0217289146665373,0.0217289146665373,0.0217289146665373,,0,199,99.76332091736576
insider_buy_bear_market,0.02142108964238789,0.02142108964238789,0.02142108964238789,0.02142108964238789,,0,200,99.78474200700815
willr,0.02013424241902989,0.02013424241902989,0.02013424241902989,0.02013424241902989,,0,201,99.80487624942718
close_lag1,0.018949461195308572,0.018949461195308572,0.018949461195308572,0.018949461195308572,,0,202,99.82382571062249
cmo,0.01781233204533,0.01781233204533,0.01781233204533,0.01781233204533,,0,203,99.84163804266781
rsi_lag5,0.01770402328794063,0.01770402328794063,0.01770402328794063,0.01770402328794063,,0,204,99.85934206595576
